"Nonpartisan Judge
Circuit Judge - Circuit 16 Division 3
Jerri J. Zhang","YES","NO","Total"
"Jackson","67224","42055","109279"
"Kansas City","54299","20931","75230"
"Total","121523","62986","184509"
