"Constitutional Amendment
Amendment 5","YES","NO","Total"
"Schuyler","863","579","1442"
"Scotland","793","476","1269"
"Scott","7354","3828","11182"
"Shannon","1497","1254","2751"
"Shelby","1280","877","2157"
"St. Charles","88971","54854","143825"
"St. Clair","2348","1230","3578"
"St. Francois","11508","5977","17485"
"St. Louis","194186","159425","353611"
"St. Louis City","34856","45736","80592"
"Ste. Genevieve","3728","2328","6056"
"Stoddard","5411","2844","8255"
"Stone","8836","4390","13226"
"Sullivan","1009","632","1641"
"Taney","11339","5659","16998"
"Texas","4883","3030","7913"
"Vernon","3999","1962","5961"
"Warren","8199","4350","12549"
"Washington","4275","2376","6651"
"Wayne","2539","1363","3902"
"Webster","8793","4961","13754"
"Worth","564","266","830"
"Wright","3853","2122","5975"
"Total","1197677","791231","1988908"
