"Constitutional Amendment
Amendment 1","YES","NO","Total"
"Schuyler","487","935","1422"
"Scotland","538","723","1261"
"Scott","5108","5950","11058"
"Shannon","763","1960","2723"
"Shelby","912","1234","2146"
"St. Charles","72504","68756","141260"
"St. Clair","1382","2151","3533"
"St. Francois","7029","10220","17249"
"St. Louis","177999","171014","349013"
"St. Louis City","35884","43276","79160"
"Ste. Genevieve","2396","3716","6112"
"Stoddard","3051","5070","8121"
"Stone","5866","7205","13071"
"Sullivan","558","1040","1598"
"Taney","7395","9377","16772"
"Texas","2803","5084","7887"
"Vernon","2303","3569","5872"
"Warren","5188","7200","12388"
"Washington","2288","4279","6567"
"Wayne","1432","2384","3816"
"Webster","5471","8165","13636"
"Worth","335","478","813"
"Wright","2234","3725","5959"
"Total","896279","1065773","1962052"
